,,,,,,Flood - R25,,,,Flood - R250,,,,Flood - RC25,,,,Flood - RC250,,,,Tsunami,,,,Earthquake,,,,
fid,Village ID,Village,District,Regency/City,Province,No Class (%),Low (%),Moderate (%),High (%),No Class (%),Low (%),Moderate (%),High (%),No Class (%),Low (%),Moderate (%),High (%),No Class (%),Low (%),Moderate (%),High (%),No Class (%),Low (%),Moderate (%),High (%),No Damage (%),Slight (%),Moderate (%),Extensive (%),Collapse (%)
507,51.02.10.2002,Sanda,Pupuan,Tabanan,Bali,92.55,1.22,0.69,5.53,92.11,1.10,0.94,5.85,92.28,1.20,0.82,5.70,91.90,1.02,1.06,6.02,100.00,0.00,0.00,0.00,99.80,0.18,0.01,0.01,0.00
508,51.04.04.2002,Sanding,Tampaksiring,Gianyar,Bali,92.36,3.29,1.65,2.70,91.93,3.13,1.90,3.04,92.19,3.25,1.65,2.91,91.64,3.17,1.94,3.25,100.00,0.00,0.00,0.00,99.51,0.40,0.04,0.04,0.02
509,51.03.03.2013,Sangeh,Abiansemal,Badung,Bali,93.06,1.75,1.55,3.64,91.96,2.30,1.53,4.21,92.53,1.95,1.51,4.01,91.36,2.57,1.55,4.52,100.00,0.00,0.00,0.00,99.37,0.54,0.03,0.04,0.03
510,51.08.01.2008,Sanggalangit,Gerokgak,Buleleng,Bali,84.71,8.29,4.02,2.98,80.98,9.52,5.68,3.82,82.99,9.08,4.55,3.38,79.89,10.02,5.82,4.27,96.27,3.73,0.00,0.00,99.51,0.39,0.03,0.03,0.03
511,51.07.02.2004,Sangkan Gunung,Sidemen,Karangasem,Bali,88.08,1.84,1.60,8.47,87.20,1.81,1.72,9.28,87.75,1.80,1.68,8.77,86.66,1.83,1.80,9.71,100.00,0.00,0.00,0.00,99.67,0.30,0.02,0.01,0.01
512,51.01.05.1009,Sangkaragung,Jembrana,Jembrana,Bali,40.87,39.10,16.62,3.40,35.12,32.24,22.38,10.27,37.88,35.78,21.04,5.31,32.04,25.10,23.08,19.77,15.93,18.58,30.09,35.40,99.40,0.49,0.04,0.04,0.03
513,51.02.08.2018,Sangketan,Penebel,Tabanan,Bali,91.41,0.95,1.00,6.63,90.78,1.09,0.93,7.20,91.06,1.01,0.95,6.98,90.64,1.06,0.90,7.40,100.00,0.00,0.00,0.00,99.77,0.21,0.01,0.01,0.00
514,51.08.07.2012,Sangsit,Sawan,Buleleng,Bali,81.79,9.97,3.93,4.31,78.76,11.00,5.03,5.22,80.25,10.28,4.48,4.98,76.26,11.69,6.10,5.95,97.32,2.68,0.00,0.00,99.34,0.56,0.04,0.04,0.02
515,51.71.01.1006,Sanur,Denpasar Selatan,Kota Denpasar,Bali,86.61,10.56,2.49,0.34,84.85,11.73,2.85,0.57,86.04,10.90,2.65,0.42,83.96,12.14,3.17,0.73,0.00,0.00,0.00,100.00,99.22,0.59,0.07,0.07,0.05
516,51.71.01.2009,Sanur Kaja,Denpasar Selatan,Kota Denpasar,Bali,84.30,13.40,2.16,0.15,83.05,13.69,3.11,0.15,84.00,13.47,2.38,0.15,82.61,13.65,3.59,0.15,0.00,0.00,0.00,100.00,99.39,0.53,0.04,0.03,0.01
517,51.71.01.2010,Sanur Kauh,Denpasar Selatan,Kota Denpasar,Bali,66.53,16.43,12.02,5.02,63.39,16.32,11.67,8.63,65.53,16.20,11.61,6.66,62.18,16.58,11.00,10.25,0.00,0.00,0.00,100.00,99.15,0.70,0.06,0.05,0.04
518,51.02.01.2006,Serampingan,Selemadeg,Tabanan,Bali,86.67,2.43,1.96,8.94,85.40,2.87,1.85,9.88,86.17,2.54,1.99,9.30,85.29,2.51,2.18,10.02,100.00,0.00,0.00,0.00,99.50,0.44,0.03,0.02,0.01
519,51.08.06.2013,Sarimekar,Buleleng,Buleleng,Bali,90.28,2.18,1.34,6.20,89.37,2.14,1.74,6.75,89.74,2.25,1.45,6.57,88.94,1.74,1.92,7.40,100.00,0.00,0.00,0.00,99.46,0.44,0.04,0.04,0.02
520,51.05.03.2001,Satra,Klungkung,Klungkung,Bali,87.35,4.76,2.79,5.11,85.14,5.40,3.13,6.33,86.83,4.70,2.96,5.51,83.63,6.15,3.31,6.91,39.47,7.89,2.63,50.00,99.49,0.44,0.03,0.02,0.02
521,51.06.04.2040,Satra,Kintamani,Bangli,Bali,92.33,0.80,0.72,6.15,91.60,0.82,0.83,6.74,91.87,0.94,0.66,6.54,91.06,0.82,0.77,7.34,100.00,0.00,0.00,0.00,99.70,0.27,0.01,0.01,0.00
522,51.08.07.2006,Sawan,Sawan,Buleleng,Bali,95.65,1.13,0.71,2.51,95.35,1.00,0.88,2.76,95.40,1.09,0.84,2.68,94.98,1.17,0.96,2.89,100.00,0.00,0.00,0.00,99.53,0.40,0.03,0.02,0.01
523,51.04.05.2008,Sayan,Ubud,Gianyar,Bali,88.94,2.46,1.31,7.29,86.36,2.57,1.81,9.26,87.22,2.44,1.58,8.76,85.34,3.07,1.69,9.90,100.00,0.00,0.00,0.00,99.43,0.49,0.03,0.03,0.02
524,51.04.06.2006,Sebatu,Tegallalang,Gianyar,Bali,87.75,1.03,1.12,10.11,87.27,0.99,1.04,10.70,87.55,0.99,1.09,10.37,86.89,0.96,1.09,11.06,100.00,0.00,0.00,0.00,99.52,0.39,0.04,0.03,0.02
525,51.07.07.2004,Sebudi,Selat,Karangasem,Bali,95.77,0.48,0.45,3.30,95.35,0.56,0.47,3.62,95.59,0.52,0.45,3.44,95.19,0.55,0.49,3.76,100.00,0.00,0.00,0.00,99.63,0.35,0.01,0.01,0.00
526,51.02.05.2012,Sesandan,Tabanan,Tabanan,Bali,91.38,3.21,2.17,3.25,90.88,3.38,2.17,3.58,91.29,3.17,2.17,3.38,90.67,3.25,2.25,3.83,100.00,0.00,0.00,0.00,99.48,0.45,0.03,0.02,0.02
527,51.03.03.2006,Sedang,Abiansemal,Badung,Bali,90.59,3.94,2.39,3.08,89.61,4.30,2.60,3.49,90.18,4.11,2.51,3.20,89.11,4.49,2.70,3.70,100.00,0.00,0.00,0.00,99.31,0.57,0.05,0.04,0.03
528,51.06.04.2015,Sekaan,Kintamani,Bangli,Bali,91.08,1.71,1.14,6.07,90.37,1.61,1.14,6.88,90.89,1.45,1.26,6.40,89.75,1.71,1.42,7.12,100.00,0.00,0.00,0.00,99.69,0.27,0.02,0.01,0.01
529,51.06.04.2017,Sekardadi,Kintamani,Bangli,Bali,93.03,1.09,1.38,4.50,92.56,1.06,1.43,4.95,92.84,1.06,1.42,4.68,92.27,1.14,1.29,5.31,100.00,0.00,0.00,0.00,99.57,0.34,0.04,0.04,0.02
530,51.05.01.2005,Sekartaji,Nusa Penida,Klungkung,Bali,92.48,1.84,1.04,4.64,91.93,1.92,1.11,5.04,92.21,1.86,1.12,4.81,91.47,1.89,1.22,5.42,96.43,3.32,0.00,0.26,99.50,0.41,0.04,0.03,0.02
531,51.08.07.2003,Sekumpul,Sawan,Buleleng,Bali,90.29,1.82,1.45,6.43,89.96,1.45,1.75,6.84,90.07,1.56,1.67,6.69,89.59,1.34,1.52,7.55,100.00,0.00,0.00,0.00,99.60,0.35,0.02,0.02,0.01
532,51.02.03.2010,Selabih,Selemadeg Barat,Tabanan,Bali,87.65,1.50,1.24,9.61,87.01,1.59,1.23,10.17,87.34,1.50,1.27,9.89,86.20,1.57,1.54,10.69,83.08,6.67,3.08,7.18,99.78,0.17,0.02,0.02,0.02
533,51.02.07.2007,Selanbawak,Marga,Tabanan,Bali,94.59,1.35,0.61,3.46,93.67,1.80,0.76,3.76,94.43,1.35,0.61,3.61,93.09,2.11,0.67,4.13,100.00,0.00,0.00,0.00,99.50,0.43,0.03,0.03,0.01
534,51.03.03.2017,Selat,Abiansemal,Badung,Bali,93.51,3.17,1.14,2.18,92.47,3.65,1.47,2.41,92.99,3.41,1.28,2.32,92.09,3.46,1.94,2.51,100.00,0.00,0.00,0.00,99.29,0.60,0.05,0.04,0.02
535,51.05.03.2016,Selat,Klungkung,Klungkung,Bali,89.22,2.32,2.12,6.34,88.35,2.54,2.08,7.03,88.93,2.30,2.08,6.68,87.65,2.72,2.28,7.34,100.00,0.00,0.00,0.00,99.65,0.32,0.01,0.01,0.01
536,51.06.01.2008,Selat,Susut,Bangli,Bali,90.48,0.97,0.73,7.82,88.04,1.00,0.73,10.22,89.61,0.73,0.80,8.85,87.04,1.30,0.80,10.86,100.00,0.00,0.00,0.00,99.57,0.39,0.02,0.01,0.00
537,51.07.07.2002,Selat,Selat,Karangasem,Bali,93.12,1.38,1.03,4.47,92.69,1.55,1.00,4.76,92.98,1.38,1.03,4.62,92.57,1.46,0.89,5.07,100.00,0.00,0.00,0.00,99.51,0.39,0.04,0.03,0.03
538,51.08.05.2014,Selat,Sukasada,Buleleng,Bali,92.64,0.99,0.94,5.42,91.98,1.03,0.95,6.03,92.35,1.09,0.91,5.66,91.70,1.05,0.93,6.31,100.00,0.00,0.00,0.00,99.65,0.31,0.02,0.01,0.01
539,51.02.01.2005,Selemadeg,Selemadeg,Tabanan,Bali,88.20,2.52,2.02,7.26,87.23,2.73,2.15,7.88,87.74,2.66,2.02,7.59,86.86,2.81,2.12,8.21,100.00,0.00,0.00,0.00,99.55,0.35,0.03,0.04,0.04
540,51.05.03.2018,Selisihan,Klungkung,Klungkung,Bali,91.42,2.74,1.63,4.21,90.26,3.26,1.63,4.84,90.89,2.89,1.74,4.47,90.21,3.05,1.53,5.21,100.00,0.00,0.00,0.00,99.72,0.26,0.01,0.01,0.00
541,51.06.04.2039,Selulung,Kintamani,Bangli,Bali,90.34,1.22,0.79,7.64,89.88,1.12,0.90,8.10,90.05,1.15,0.90,7.89,89.39,1.18,0.97,8.46,100.00,0.00,0.00,0.00,99.67,0.26,0.02,0.02,0.02
542,51.07.03.2008,Selumbung,Manggis,Karangasem,Bali,91.61,1.69,1.36,5.35,90.87,1.86,1.50,5.77,91.41,1.73,1.38,5.49,90.69,1.91,1.34,6.05,100.00,0.00,0.00,0.00,99.69,0.28,0.01,0.01,0.01
543,51.05.03.1008,Semarapura Kaja,Klungkung,Klungkung,Bali,89.89,1.55,0.83,7.73,88.11,1.31,1.43,9.16,88.47,1.55,1.19,8.80,87.87,1.43,1.19,9.51,100.00,0.00,0.00,0.00,99.50,0.45,0.02,0.02,0.01
544,51.05.03.1011,Semarapura Kangin,Klungkung,Klungkung,Bali,91.08,3.60,2.26,3.06,90.28,3.99,2.26,3.46,90.81,3.60,2.13,3.46,89.75,3.99,2.66,3.60,100.00,0.00,0.00,0.00,99.51,0.41,0.03,0.03,0.02
545,51.05.03.1009,Semarapura Kauh,Klungkung,Klungkung,Bali,89.75,2.51,2.18,5.56,88.00,2.62,2.40,6.98,89.53,1.74,2.40,6.32,87.35,2.84,1.64,8.18,100.00,0.00,0.00,0.00,99.47,0.44,0.04,0.03,0.02
546,51.05.03.1013,Semarapura Kelod,Klungkung,Klungkung,Bali,87.66,6.76,2.75,2.83,83.33,9.51,3.46,3.69,85.53,8.18,3.38,2.91,80.74,10.69,4.32,4.25,100.00,0.00,0.00,0.00,99.50,0.44,0.02,0.02,0.01
547,51.05.03.1012,Semarapura Kelod Kangin,Klungkung,Klungkung,Bali,94.60,3.04,2.06,0.29,92.93,4.42,1.86,0.79,94.01,3.43,2.06,0.49,91.76,5.40,1.86,0.98,100.00,0.00,0.00,0.00,99.50,0.42,0.04,0.03,0.02
548,51.05.03.1010,Semarapura Tengah,Klungkung,Klungkung,Bali,98.12,1.21,0.67,0.00,97.98,1.21,0.67,0.13,97.98,1.21,0.81,0.00,97.31,1.61,0.94,0.13,100.00,0.00,0.00,0.00,99.51,0.42,0.03,0.03,0.02
549,51.08.09.2001,Sembiran,Tejakula,Buleleng,Bali,95.47,0.97,0.73,2.83,94.91,1.08,0.80,3.21,95.14,1.05,0.74,3.07,94.59,1.02,0.91,3.47,98.77,1.23,0.00,0.00,99.61,0.32,0.03,0.03,0.01
550,51.03.02.2007,Sembung,Mengwi,Badung,Bali,89.44,5.90,2.83,1.82,88.06,6.58,3.47,1.89,89.06,6.11,3.21,1.63,87.24,6.83,3.78,2.15,100.00,0.00,0.00,0.00,99.45,0.47,0.03,0.03,0.02
551,51.02.04.2012,Sembung Gede,Kerambitan,Tabanan,Bali,87.15,4.10,2.38,6.37,86.00,4.55,2.58,6.88,86.67,4.23,2.42,6.68,85.32,4.46,2.95,7.28,100.00,0.00,0.00,0.00,99.54,0.40,0.02,0.02,0.02
552,51.03.01.1005,Seminyak,Kuta,Badung,Bali,82.38,9.29,5.22,3.11,78.44,10.59,5.63,5.35,81.19,9.98,5.35,3.49,75.10,11.63,6.01,7.26,0.00,0.00,0.00,100.00,99.36,0.52,0.05,0.04,0.03
553,51.03.02.1005,Sempidi,Mengwi,Badung,Bali,81.52,5.11,3.69,9.68,78.78,5.41,4.33,11.47,80.68,5.04,3.96,10.32,78.17,5.65,4.20,11.98,100.00,0.00,0.00,0.00,99.46,0.47,0.03,0.02,0.01
554,51.02.08.2012,Senganan,Penebel,Tabanan,Bali,93.67,1.09,1.06,4.17,93.31,1.15,1.08,4.46,93.46,1.11,1.05,4.38,92.89,1.24,1.07,4.80,100.00,0.00,0.00,0.00,99.67,0.29,0.01,0.01,0.02
555,51.07.03.2012,Sengkidu,Manggis,Karangasem,Bali,89.52,2.10,2.10,6.27,87.98,1.90,2.62,7.50,88.57,2.30,2.26,6.87,87.10,2.10,2.62,8.17,68.97,10.34,5.17,15.52,99.49,0.44,0.03,0.03,0.01
556,51.08.03.2001,Sepang,Busungbiu,Buleleng,Bali,89.50,1.21,1.15,8.14,88.98,1.24,1.16,8.62,89.17,1.22,1.14,8.47,88.80,1.25,1.06,8.89,100.00,0.00,0.00,0.00,99.53,0.42,0.02,0.02,0.01
557,51.08.03.2015,Sepang Kelod,Busungbiu,Buleleng,Bali,89.10,1.00,1.05,8.85,88.25,1.02,1.04,9.68,88.68,1.00,1.06,9.26,87.77,1.10,0.99,10.14,100.00,0.00,0.00,0.00,99.59,0.35,0.02,0.02,0.02
558,51.06.04.2030,Serai,Kintamani,Bangli,Bali,93.00,0.95,0.88,5.16,92.74,1.01,1.04,5.21,92.91,1.02,0.88,5.18,92.38,1.08,1.06,5.48,100.00,0.00,0.00,0.00,99.71,0.23,0.02,0.02,0.02
559,51.71.01.1001,Serangan,Denpasar Selatan,Kota Denpasar,Bali,73.76,25.88,0.33,0.03,73.53,26.12,0.32,0.03,73.58,25.85,0.54,0.03,73.30,25.93,0.72,0.05,0.00,1.94,7.10,90.97,99.37,0.54,0.03,0.04,0.03
560,51.07.04.2006,Seraya,Karangasem,Karangasem,Bali,93.68,0.94,0.74,4.64,93.33,0.87,0.87,4.92,93.45,0.91,0.83,4.81,92.82,1.03,0.87,5.28,96.50,3.50,0.00,0.00,99.67,0.29,0.02,0.01,0.00
561,51.07.04.2007,Seraya Barat,Karangasem,Karangasem,Bali,89.66,1.51,1.45,7.38,88.88,1.79,1.27,8.06,89.39,1.62,1.52,7.47,88.45,1.80,1.31,8.44,95.77,2.82,1.41,0.00,99.62,0.34,0.02,0.01,0.01
562,51.07.04.2008,Seraya Timur,Karangasem,Karangasem,Bali,92.27,0.90,0.67,6.16,91.92,0.91,0.79,6.38,92.07,0.85,0.81,6.27,91.71,0.92,0.76,6.61,94.12,5.88,0.00,0.00,99.51,0.42,0.03,0.03,0.01
563,51.08.02.1015,Seririt,Seririt,Buleleng,Bali,79.70,11.92,3.10,5.28,71.63,17.19,5.15,6.02,75.42,14.59,4.28,5.71,67.10,20.36,5.83,6.70,100.00,0.00,0.00,0.00,99.44,0.47,0.04,0.03,0.02
564,51.04.03.2013,Serongga,Gianyar,Gianyar,Bali,92.81,3.86,1.03,2.31,91.22,4.49,1.87,2.42,92.29,4.13,1.23,2.34,90.10,5.13,2.15,2.62,87.50,7.14,3.57,1.79,99.46,0.45,0.04,0.03,0.02
565,51.71.01.1003,Sesetan,Denpasar Selatan,Kota Denpasar,Bali,77.50,16.85,4.89,0.76,74.38,18.63,5.90,1.09,76.44,17.39,5.36,0.81,72.74,19.51,6.51,1.24,0.00,0.00,0.00,100.00,99.35,0.50,0.05,0.05,0.04
566,51.06.04.2046,Siakin,Kintamani,Bangli,Bali,94.76,0.35,0.40,4.49,94.39,0.34,0.35,4.92,94.58,0.34,0.37,4.71,94.09,0.41,0.34,5.16,100.00,0.00,0.00,0.00,99.53,0.40,0.03,0.02,0.01
567,51.04.03.2010,Siangan,Gianyar,Gianyar,Bali,93.57,1.30,1.05,4.08,92.78,1.49,1.03,4.70,93.35,1.36,1.03,4.26,92.31,1.78,1.03,4.87,100.00,0.00,0.00,0.00,99.44,0.47,0.04,0.03,0.02
568,51.03.03.2003,Sibanggede,Abiansemal,Badung,Bali,85.05,4.04,3.24,7.67,82.36,4.57,3.46,9.61,83.87,4.21,3.40,8.52,80.66,4.63,3.80,10.91,100.00,0.00,0.00,0.00,99.43,0.46,0.04,0.04,0.03
569,51.03.03.2002,Sibangkaja,Abiansemal,Badung,Bali,86.34,4.63,2.50,6.53,85.05,4.68,2.47,7.80,85.59,4.91,2.57,6.92,84.08,4.91,2.39,8.62,100.00,0.00,0.00,0.00,99.38,0.49,0.05,0.04,0.04
570,51.07.06.2004,Sibetan,Bebandem,Karangasem,Bali,87.76,2.68,2.35,7.21,86.36,2.52,2.57,8.56,87.54,2.66,2.36,7.44,85.93,2.58,2.58,8.91,100.00,0.00,0.00,0.00,99.60,0.34,0.02,0.02,0.01
571,51.71.01.2007,Sidakarya,Denpasar Selatan,Kota Denpasar,Bali,73.75,17.81,7.62,0.82,68.95,19.58,9.63,1.85,71.59,18.86,8.29,1.26,67.33,19.70,10.45,2.52,0.00,0.00,0.00,100.00,99.30,0.60,0.04,0.03,0.03
572,51.04.03.2002,Sidan,Gianyar,Gianyar,Bali,92.38,1.88,1.07,4.67,91.83,1.80,1.40,4.97,92.16,1.88,1.07,4.90,91.50,2.06,1.29,5.15,100.00,0.00,0.00,0.00,99.49,0.42,0.03,0.03,0.02
573,51.07.02.2003,Sidemen,Sidemen,Karangasem,Bali,89.68,2.62,1.89,5.82,88.52,2.56,2.20,6.71,89.23,2.77,1.91,6.09,87.75,2.53,2.43,7.30,100.00,0.00,0.00,0.00,99.69,0.27,0.02,0.02,0.01
574,51.08.04.2010,Sidetapa,Banjar,Buleleng,Bali,91.78,0.78,0.64,6.80,90.79,0.82,0.69,7.70,91.60,0.77,0.66,6.96,90.44,0.83,0.65,8.07,100.00,0.00,0.00,0.00,99.62,0.33,0.03,0.02,0.01
575,51.08.05.2006,Silangjana,Sukasada,Buleleng,Bali,94.59,1.02,0.80,3.59,94.07,1.06,1.01,3.87,94.37,1.00,0.89,3.75,93.69,1.10,0.92,4.29,100.00,0.00,0.00,0.00,99.61,0.33,0.02,0.02,0.01
576,51.08.07.2010,Sinabun,Sawan,Buleleng,Bali,92.40,1.89,1.60,4.11,91.50,1.95,1.92,4.63,91.80,1.92,1.89,4.38,90.61,2.27,1.87,5.25,100.00,0.00,0.00,0.00,99.45,0.43,0.04,0.05,0.03
577,51.07.02.2006,Sinduwati,Sidemen,Karangasem,Bali,84.35,2.33,1.91,11.42,82.86,2.40,2.33,12.41,83.46,2.50,2.15,11.89,81.87,2.67,2.53,12.93,100.00,0.00,0.00,0.00,99.62,0.34,0.02,0.01,0.01
578,51.04.05.2003,Singakerta,Ubud,Gianyar,Bali,87.21,3.81,1.97,7.01,84.59,5.08,2.24,8.09,86.32,4.10,2.10,7.49,82.38,6.35,2.62,8.66,100.00,0.00,0.00,0.00,99.54,0.37,0.03,0.03,0.03
579,51.04.01.2006,Singapadu,Sukawati,Gianyar,Bali,86.90,7.13,3.10,2.86,84.96,8.03,3.67,3.34,86.12,7.55,3.25,3.07,82.36,9.28,4.15,4.21,100.00,0.00,0.00,0.00,99.41,0.50,0.04,0.03,0.02
580,51.04.01.2011,Singapadu Kaler,Sukawati,Gianyar,Bali,87.93,4.11,2.17,5.79,83.55,6.30,2.26,7.89,86.71,4.38,1.90,7.01,77.87,9.02,3.82,9.29,100.00,0.00,0.00,0.00,99.43,0.45,0.05,0.04,0.03
581,51.04.01.2010,Singapadu Tengah,Sukawati,Gianyar,Bali,88.12,5.22,2.81,3.85,86.18,5.70,3.07,5.04,87.46,5.22,2.84,4.48,82.54,6.78,3.85,6.84,100.00,0.00,0.00,0.00,99.32,0.58,0.05,0.04,0.02
582,51.03.02.2011,Sobangan,Mengwi,Badung,Bali,91.81,3.24,1.63,3.32,90.36,3.87,2.13,3.63,91.10,3.55,1.84,3.50,89.81,4.03,2.29,3.87,100.00,0.00,0.00,0.00,99.35,0.56,0.04,0.03,0.02
583,51.06.04.2024,Songan A,Kintamani,Bangli,Bali,81.47,4.56,3.58,10.40,79.83,3.06,5.13,11.98,80.62,4.05,4.23,11.11,78.76,3.12,4.94,13.19,100.00,0.00,0.00,0.00,99.67,0.31,0.01,0.01,0.00
584,51.06.04.2025,Songan B,Kintamani,Bangli,Bali,78.34,13.26,2.43,5.97,77.72,1.21,14.28,6.78,77.99,12.90,2.62,6.49,77.47,1.21,13.95,7.37,100.00,0.00,0.00,0.00,99.65,0.32,0.01,0.01,0.00
585,51.05.01.2007,Suana,Nusa Penida,Klungkung,Bali,93.37,1.05,1.10,4.49,92.64,1.21,1.15,5.00,92.90,1.13,1.11,4.86,91.62,1.34,1.26,5.77,85.50,8.16,1.21,5.14,99.37,0.54,0.04,0.03,0.02
586,51.07.04.1002,Subagan,Karangasem,Karangasem,Bali,89.31,5.22,3.09,2.38,87.05,6.09,3.73,3.13,87.59,5.78,3.39,3.23,84.78,6.96,4.14,4.12,95.48,1.81,2.71,0.00,99.48,0.45,0.03,0.03,0.02
587,51.02.05.2008,Subamia,Tabanan,Tabanan,Bali,86.83,1.66,1.99,9.52,86.07,1.56,2.03,10.35,86.40,1.59,2.28,9.73,84.95,2.46,1.74,10.85,100.00,0.00,0.00,0.00,99.49,0.38,0.04,0.04,0.05
588,51.06.04.2045,Subaya,Kintamani,Bangli,Bali,90.43,0.49,0.48,8.60,89.80,0.61,0.36,9.23,90.22,0.48,0.40,8.90,89.52,0.55,0.44,9.49,100.00,0.00,0.00,0.00,99.48,0.43,0.04,0.04,0.02
589,51.08.03.2007,Subuk,Busungbiu,Buleleng,Bali,86.64,1.77,1.49,10.10,85.87,1.57,1.92,10.65,86.27,1.72,1.72,10.30,85.32,1.92,1.67,11.09,100.00,0.00,0.00,0.00,99.68,0.27,0.02,0.02,0.01
590,51.08.07.2005,Sudaji,Sawan,Buleleng,Bali,90.04,1.53,1.35,7.08,89.39,1.46,1.50,7.66,89.67,1.47,1.35,7.51,88.73,1.39,1.60,8.28,100.00,0.00,0.00,0.00,99.57,0.37,0.02,0.02,0.01
591,51.02.05.2001,Sudimara,Tabanan,Tabanan,Bali,82.98,7.55,3.91,5.56,81.01,7.81,4.47,6.71,81.89,7.96,4.04,6.10,79.81,7.91,5.03,7.25,43.72,16.94,3.28,36.07,99.31,0.51,0.06,0.06,0.06
592,51.07.08.2009,Sukadana,Kubu,Karangasem,Bali,95.64,2.25,1.06,1.05,94.69,2.59,1.30,1.42,93.19,2.65,2.00,2.16,91.70,3.24,2.41,2.66,99.09,0.91,0.00,0.00,99.28,0.64,0.04,0.03,0.02
593,51.08.05.1009,Sukasada,Sukasada,Buleleng,Bali,94.06,1.26,0.58,4.11,93.32,1.46,0.86,4.37,93.70,1.36,0.72,4.23,92.64,1.40,1.00,4.96,100.00,0.00,0.00,0.00,99.53,0.40,0.03,0.02,0.01
594,51.06.04.2043,Sukawana,Kintamani,Bangli,Bali,93.67,0.65,0.58,5.11,93.42,0.59,0.61,5.38,93.57,0.62,0.61,5.20,93.23,0.63,0.60,5.53,100.00,0.00,0.00,0.00,99.60,0.35,0.03,0.02,0.01
595,51.04.01.2004,Sukawati,Sukawati,Gianyar,Bali,87.68,4.29,2.98,5.06,84.29,5.89,3.53,6.29,86.12,4.84,3.41,5.62,82.23,6.90,3.82,7.05,43.18,11.93,7.39,37.50,99.44,0.46,0.04,0.04,0.03
596,51.06.01.2005,Sulahan,Susut,Bangli,Bali,89.92,0.90,1.01,8.17,89.03,0.88,1.00,9.09,89.54,0.86,1.04,8.56,88.66,0.93,1.00,9.40,100.00,0.00,0.00,0.00,99.61,0.36,0.01,0.01,0.00
597,51.05.04.2004,Sulang,Dawan,Klungkung,Bali,97.10,0.67,0.45,1.79,96.65,0.89,0.56,1.90,96.99,0.78,0.33,1.90,96.32,1.23,0.45,2.01,100.00,0.00,0.00,0.00,99.65,0.31,0.02,0.02,0.01
598,51.03.04.2007,Sulangai,Petang,Badung,Bali,92.68,1.05,0.77,5.50,91.95,1.07,0.82,6.17,92.19,1.06,0.78,5.97,91.47,1.05,0.83,6.65,100.00,0.00,0.00,0.00,99.62,0.34,0.02,0.02,0.01
599,51.08.02.2012,Sulanyah,Seririt,Buleleng,Bali,80.86,15.90,1.37,1.87,77.68,17.77,2.18,2.37,79.24,16.96,1.87,1.93,75.00,19.76,2.74,2.49,100.00,0.00,0.00,0.00,99.48,0.47,0.03,0.02,0.01
600,51.08.01.2001,Sumberklampok,Gerokgak,Buleleng,Bali,89.67,3.68,2.32,4.32,88.07,4.04,2.77,5.13,89.09,3.91,2.45,4.55,87.62,4.25,2.78,5.34,93.05,4.76,0.96,1.23,99.76,0.20,0.02,0.01,0.01
601,51.71.02.1006,Sumerta,Denpasar Timur,Kota Denpasar,Bali,88.52,10.49,0.66,0.33,86.67,11.69,1.31,0.33,88.09,10.71,0.87,0.33,85.90,12.46,1.31,0.33,0.00,40.91,13.64,45.45,99.30,0.59,0.05,0.04,0.02
602,51.71.02.2007,Sumerta Kaja,Denpasar Timur,Kota Denpasar,Bali,76.56,16.19,5.86,1.39,73.39,18.07,6.65,1.89,75.97,16.39,6.16,1.49,71.90,18.87,7.05,2.18,27.27,40.91,13.64,18.18,99.44,0.44,0.04,0.04,0.03
603,51.71.02.2008,Sumerta Kauh,Denpasar Timur,Kota Denpasar,Bali,84.44,10.51,3.84,1.21,82.22,11.92,4.65,1.21,84.24,10.51,4.04,1.21,81.41,12.53,4.44,1.62,0.00,7.69,7.69,84.62,99.45,0.44,0.04,0.04,0.03
604,51.71.02.2002,Sumerta Kelod,Denpasar Timur,Kota Denpasar,Bali,76.74,14.46,6.42,2.38,73.93,15.89,7.17,3.01,76.01,15.07,6.37,2.56,72.85,16.22,7.60,3.33,0.00,0.00,0.00,100.00,99.37,0.55,0.04,0.03,0.01
605,51.04.03.2016,Sumita,Gianyar,Gianyar,Bali,91.77,1.50,1.65,5.09,90.91,1.68,1.46,5.95,91.39,1.65,1.46,5.50,91.99,1.38,1.42,5.20,100.00,0.00,0.00,0.00,99.51,0.40,0.04,0.03,0.02
606,51.06.01.2004,Susut,Susut,Bangli,Bali,91.33,1.58,1.01,6.08,90.39,1.51,1.30,6.80,90.92,1.37,1.15,6.56,90.34,1.46,1.32,6.88,100.00,0.00,0.00,0.00,99.44,0.50,0.03,0.02,0.02
607,51.06.04.2021,Suter,Kintamani,Bangli,Bali,93.62,0.97,0.67,4.74,93.06,0.94,0.80,5.20,93.38,1.04,0.70,4.87,92.77,1.04,0.72,5.47,100.00,0.00,0.00,0.00,99.60,0.36,0.02,0.01,0.01
608,51.04.03.2011,Suwat,Gianyar,Gianyar,Bali,96.37,0.96,0.62,2.06,95.89,1.10,0.69,2.33,96.30,0.75,0.75,2.19,95.54,1.23,0.69,2.54,100.00,0.00,0.00,0.00,99.39,0.54,0.03,0.02,0.01
609,51.08.07.2008,Suwug,Sawan,Buleleng,Bali,90.72,2.13,1.51,5.64,90.10,2.21,1.41,6.28,90.31,2.15,1.65,5.89,88.94,2.60,1.57,6.90,100.00,0.00,0.00,0.00,99.44,0.48,0.03,0.03,0.02
